file,time,word,phoneme, duration, F1,F2
untitled,1.7352507463786326,heed,FLEECE,0.3181803196449495,316.94629562421005,2235.8112633833375
untitled,2.8156795140960074,beed,FLEECE,0.27653766194846163,269.3233207045033,2247.4015248622945
untitled,3.8452816578110354,been,FLEECE,0.1458501506882226,277.76739753283584,2374.4654067996403
untitled,4.756272646663706,seen,FLEECE,0.194948221216932,289.1433948201964,2237.86356937684
untitled,5.666827077837498,hid,KIT,0.14657218113717452,406.8207533720232,1945.4695949888
untitled,6.505658677562904,bid,KIT,0.15234842472878718,409.52653898489183,2043.0264155640455
untitled,7.357705104208877,bin,KIT,0.12418923721967445,450.3038238438865,1927.4403567867837
untitled,8.344029076754703,sin,KIT,0.1205790849749171,396.5311814624731,1782.1374936400027
untitled,9.258630217852136,head,DRESS,0.12707735901548212,670.3311178649192,1858.8700126616832
untitled,10.142425866646834,bed,DRESS,0.1256332981175774,654.6573314140153,1763.6652727986097
untitled,11.03477503113043,ben,DRESS,0.06498274040564489,692.3983557103116,1802.0091088818115
untitled,11.989678910065473,ten,DRESS,0.11263675003644913,679.897791699846,1720.956031576982
untitled,12.855860355315262,had,TRAP,0.16823309460572133,782.2239287691375,1463.896694706614
untitled,13.716440180044986,bad,TRAP,0.08880974522104701,777.6245597040358,1464.8785713996974
untitled,14.57616700702208,ban,TRAP,0.0967520801595132,799.0806008233162,1493.2071610711341
untitled,15.502999009983801,tan,TRAP,0.15307045517773687,784.2661225485139,1470.319955693284
untitled,16.367671175727725,heard,SCHWA,0.15994722545555007,480.3567652898947,1380.200438864481
untitled,17.218524457532506,bird,SCHWA,0.12531947561465628,497.23866448112824,1393.1996655058952
untitled,18.119573408555535,burn,SCHWA,0.20683652861368174,501.8647263870825,1343.068998015135
untitled,19.14635042775911,turn,SCHWA,0.169840868267233,490.6762188361081,1443.7635533320406
untitled,20.068223005889713,hard,BATH,0.3079069770274181,639.7000960660456,989.1724290187248
untitled,20.945459335192314,bard,BATH,0.291862462944664,589.1935368278456,1001.7385729830777
untitled,21.837697050525144,barn,BATH,0.23414954654317555,583.9653318821026,975.6513797229233
untitled,22.7857993293078,tarn,BATH,0.2506389512293161,609.2920258805206,934.6208339070419
untitled,23.633354730175352,hud,STRUT,0.1434578207694095,469.5552061272408,1172.4556049596913
untitled,24.541782731469752,bud,STRUT,0.1352131184263392,470.1761121072055,1105.8325916797871
untitled,25.851601210328,bun,STRUT,0.10553218999129044,474.00557097137215,1114.337115135795
untitled,27.007669400639056,sun,STRUT,0.12367053514604365,495.68869840484126,1217.0582360828446
untitled,28.037413477953272,hod,LOT,0.12531947561465628,558.9392906309711,910.8793658561808
untitled,28.987111056600305,bod,LOT,0.16819192779862036,565.8019430743541,858.6001674404375
untitled,29.948849749735263,bonn,LOT,0.10058536858544898,605.5330886022596,806.0763164372622
untitled,30.927376966280924,hood,FOOT,0.08904278530515342,419.28203051741457,1209.3550010726185
untitled,31.742712717038035,put,FOOT,0.09563854717960751,474.34451103855537,1061.0428736810898
untitled,32.52227030869327,foot,FOOT,0.07585126155623811,500.1284756973933,1034.2188621014352
untitled,33.5213363951572,who'd,GOOSE,0.2077664990453485,325.8082000075984,1847.342715621036
untitled,34.32406195079511,booed,GOOSE,0.19542929395500153,353.1311791501585,1761.603121836065
untitled,35.21660678459725,boon,GOOSE,0.164396156996105,334.810807633763,1586.607993693436
untitled,36.07282158481587,soon,GOOSE,0.1836902983349873,341.9112014978397,1996.1461613290787
